title,job_description
Software Intern - Generative AI Developer," About the job

Role Overview:

 We are seeking a skilled and creative Generative AI Developer to join our team. In this role, you will be responsible for developing, and implementing generative AI models. You will collaborate with cross-functional teams to define project goals, research requirements, and develop innovative solutions that drive value for our clients.

 

Key Responsibilities:

     Design, develop, and implement generative AI models using state-of-the-art techniques.
     Collaborate with cross-functional teams to define project goals, research requirements, and develop innovative solutions.
     Optimize model performance through experimentation, hyperparameter tuning, and advanced optimization techniques.
     Stay up to date on the latest advancements in generative AI, deep learning, and related fields, and incorporate new techniques and methods into the team's workflow.
     Develop and maintain clear and concise documentation of generative AI models, processes, and results.
     Communicate complex concepts and results to both technical and non-technical stakeholders.
     Provide support and guidance to other team members, and contribute to a positive, collaborative working environment.

 

Qualifications:

 - Bachelor's degree in computer science, artificial intelligence, or a related field.

 - Strong programming skills in Python.

 - Experience with machine learning frameworks, such as TensorFlow, PyTorch, or scikit-learn.

 - Experience with cloud computing platforms, such as AWS or Azure.

 - Excellent communication and problem-solving skills.

 - Ability to work independently and as part of a team.

 

Must-Have Technical Skills:

     Programming languages: Python
     Machine learning frameworks: TensorFlow, PyTorch, or scikit-learn, Langchain
     Cloud computing platforms: AWS or Azure
     Natural language processing (NLP)
     Generative adversarial networks (GANs)
     Variational autoencoders (VAEs)
     Diffusion models
     Data visualization

"
Machine Learning Engineer,"
About the job
Second Spectrum is a Sports Emmy-winning data & tech company that is building the next way of seeing sports - by capturing and producing the highest quality data and innovative content for many of the world’s largest leagues and media partners, such as the NFL, NBA, English Premier League, ESPN, Amazon, and CBS Sports.

We are pushing the boundaries of deep tech -- machine learning, computer vision, big data, augmented and virtual reality. Our passion for cutting-edge design and decades of experience playing college and professional sports is an equal part of the magic that brings unique and innovative products to life. These products have helped Second Spectrum partners to multiple NBA championships, to win matches on football pitches around the world, to entertain and educate millions of fans on TV and digital. In 2021, Second Spectrum was acquired by Genius Sports, bringing together a unique combination of technological, operational and commercial capabilities. We're just getting started turning our joint vision of transformative sports technologies into reality.

Second Spectrum is the place to be if you’re interested in working on cutting edge technology in sports, alongside incredibly driven and ambitious teammates. Our innovative and dynamic environment emphasizes opportunities for motivated individuals to maximize their growth and impact.

The Role: Machine Learning Engineer

Second Spectrum is looking for a Machine Learning Engineer to join our Artificial Intelligence group to develop advanced ML-based sports data products.

This role is based in our recently opened, global center, New York City office. Located in midtown Manhattan, amongst the iconic skyline, you'll be immersed in cultural richness that inspires innovation and creativity. Join our team and add your talents to building a hub for all of Genius Sports.

Specifically, You Can Expect To

    Design, prototype, implement, evaluate, optimize and monitor machine learning algorithms and related software systems to generate sports data and insights with high accuracy and low latency
    Build, test, deploy and maintain production systems
    Maintain and promote best practices for software development, including deployment process, documentation, and coding standards
    Contribute to technical and product discussions, and share knowledge and ideas with colleagues across the company

Minimum Qualifications

    BSc or MSc or equivalent experience with a strong software engineering component
    Experience with deep learning and some of the languages and technologies in our stack
    Affinity for teamwork and collaboration with others to solve problems, share knowledge, and provide feedback
    Strong communication skills when discussing technical concepts with technical and non-technical colleagues
    Self-motivation and ability to work independently in an efficient manner
    Flexibility and availability for work on-call, outside of regular work hours, as needed to support live sports

Preferred Qualifications

    Experience with data pipelines, devops

Our Stack

    Languages: Python, Rust
    Frameworks: PyTorch, PyTorch Lightning, Keras, TensorFlow, scikit-learn, xarray, pandas
    Infrastructure, tools: AWS (S3, EC2), Docker, Pulsar, Grafana, Pachyderm

Our Work Environment And What You Will Benefit From

    Work on cutting-edge products for major professional sports leagues and teams.
    Team-oriented engineering practices (readable, maintainable, and efficient code).
    Flat hierarchy and collaborative management led by experienced and strong technical leads.
    Innovative and dynamic environment, which encourages self-development and opportunities to make an impact.
    Multicultural team with employees based across several countries (e.g., Switzerland, Denmark, France, United States).
    Potential for Equity/Bonus, Flexible working hours, Competitive salary, Medical and dental benefits, 401k match

What’s in it for you?

In addition to competitive salary and paid time off, our benefits include health insurance, skills training and much more, depending on the location. We also offer social events throughout the year such as summer and winter holiday parties, monthly team building events, sports tournaments, charity days and wellbeing activities.

The base salary range for this role is $125,000 - $180,000 A number of factors influence the specific offer, including location, seniority, and relevant educational and working experience. 

How We Work

We have adapted a forward-thinking ‘Ways of Working’ framework, which sets out (amongst other things) the opportunities for Second Spectrum to work flexibly, remotely and on working holidays. It affects different teams and locations differently, so please ask for further information on how it would work with this role.

Our employees stretch the boundaries of what’s achievable, always reaching further and pushing limits to see what gives. We collaborate, we innovate, and we celebrate. We will continue to grow as an organization and to invest in our highly talented and diverse team.

Second Spectrum, part of Genius Sports Group, is proud to be an equal opportunity employer. We recognize and celebrate the benefits that a diverse and inclusive workforce bring to our business, our customers, and our staff. We welcome and will consider all applications regardless of age, different abilities or disability, gender identity or re-assignment, marriage, pregnancy, maternity, race or nationality, religion or belief, sex and sexual orientation (and any other applicable status). Please let us know when you apply if you need any assistance during the recruiting process due to a disability."
Machine Learning Engineer," About the job
ZS is a place where passion changes lives. As a management consulting and technology firm focused on transforming global healthcare and beyond, our most valuable asset is our people. Here you’ll work side-by-side with a powerful collective of thinkers and experts shaping solutions from start to finish. At ZS, we believe that making an impact demands a different approach; and that’s why here your ideas elevate actions, and here you’ll have the freedom to define your own path and pursue cutting-edge work. We partner collaboratively with our clients to develop products that create value and deliver company results across critical areas of their business including portfolio strategy, customer insights, research and development, operational and technology transformation, marketing strategy and many more. If you dare to think differently, join us, and find a path where your passion can change lives.

Our most valuable asset is our people. 

At ZS we honor the visible and invisible elements of our identities, personal experiences and belief systems—the ones that comprise us as individuals, shape who we are and

make us unique. We believe your personal interests, identities, and desire to learn are part of your success here. Learn more about our diversity, equity, and inclusion efforts and the networks ZS supports to assist our ZSers in cultivating community spaces, obtaining the resources they need to thrive, and sharing the messages they are passionate about. Learn more

Machine Learning Engineer

 AI Practice

ZS AI Practice is building transformative AI-enabled data products and solutions. ZS suite of products and solutions include hyper-personalization, Customer journey design, AI guided selling, large-scale unstructured customer data mining with NLP and dynamic pricing. Our products and client focused solutions use state of the art ML and Deep Learning techniques and ML Engineering Platforms.

 

What You’ll Do

    Build, orchestrate, and monitor model pipelines including feature engineering, inferencing and continuous model training 
    Scaling machine learning algorithms to work on massive data sets and strict SLAs 
    Build & Enhance ML Engineering platforms and components 
    Implement ML Ops including model KPI measurements, tracking, data and model drift & model feedback loop 
    Write production-ready code that is easily testable, understood by other developers and accounts for edge cases and errors 
    Ensure highest quality of deliverables by following architecture/design guidelines, coding best practices, periodic design/code reviews 
    Collaborate with client teams and global development team to successfully deliver projects 
    Uses bug tracking, code review, version control and other tools to organize and deliver work 
    Participate in scrum calls, and effectively communicate work progress, issues and dependencies 
    Consistently contribute to researching & evaluating latest architecture patterns/technologies through rapid learning, conducting proof-of-concepts and creating prototype solutions. 

What You’ll Bring

    Bachelor's/Master's degree with specialization in Computer Science, MIS, IT or another computer related discipline 
    2-4 years' experience in deploying and productionizing ML models 
    Strong programming expertise in Python / PySpark 
    Experience in ML platforms like Dataiku, Sagemaker, MLFlow or other platforms 
    Experience in deploying models to cloud services like AWS, Azure, GCP 
    Expertise in crafting ML Models for high performance and scalability 
    Experience in implementing feature engineering, inferencing pipelines and real time model predictions 
    Experience in ML Ops to measure and track model performance 
    Good fundamentals of machine learning and deep learning 
    Knowledgeable of core Computer Science concepts such as common data structures, algorithms, and design patterns 
    Excellent oral and written communication skills 

Additional Skills

    Experience with Spark or other distributed computing frameworks 
    Understanding of?DevOps,?CI / CD, data security, experience in designing on cloud?platform 
    Experience in data engineering in Big Data systems 

Perks & Benefits:

ZS offers a comprehensive total rewards package including health and well-being, financial planning, annual leave, personal growth and professional development. Our robust skills development programs, multiple career progression options and internal mobility paths and collaborative culture empowers you to thrive as an individual and global team member.

We are committed to giving our employees a flexible and connected way of working. A flexible and connected ZS allows us to combine work from home and on-site presence at clients/ZS offices for the majority of our week. The magic of ZS culture and innovation thrives in both planned and spontaneous face-to-face connections.

Considering applying?

At ZS, we're building a diverse and inclusive company where people bring their passions to inspire life-changing impact in global healthcare and beyond. We are most interested in finding the best candidate for the job and recognize the value that candidates with all backgrounds, including non-traditional ones, bring. If you are interested in joining us, we encourage you to apply even if you don't meet 100% of the requirements listed above.

ZS is an equal opportunity employer and is committed to providing equal employment and advancement opportunities without regard to any class protected by applicable law.

To Complete Your Application:

Candidates must possess or be able to obtain work authorization for their intended country of employment.

ZS is committed to providing and maintaining a safe workplace. In order to keep its employees safe, ZS recommends that all its employees and contractors be fully vaccinated against COVID-19. Proof of vaccination can be voluntarily provided upon acceptance of offer of employment.

NO AGENCY CALLS, PLEASE."
AI Engineer,"
About the job
LinkedIn is the world’s largest professional network, built to help members of all backgrounds and experiences achieve more in their careers. Our vision is to create economic opportunity for every member of the global workforce. Every day our members use our products to make connections, discover opportunities, build skills and gain insights. We believe amazing things happen when we work together in an environment where everyone feels a true sense of belonging, and that what matters most in a candidate is having the skills needed to succeed. It inspires us to invest in our talent and support career growth. Join us to challenge yourself with work that matters.

This role will be based in Sunnyvale or San Francisco.

At LinkedIn, we trust each other to do our best work where it works best for us and our teams. This role offers a hybrid work option, meaning you can work from home and commute to a LinkedIn office, depending on what’s best for you and when it is important for your team to be together. This is a full-time engineering role based in San Francisco or Sunnyvale, CA
LinkedIn's Machine Learning Engineers are both data/research scientists and software engineers, who develop and implement machine learning models and algorithms. Unlike other companies that separate these roles, our engineers work on projects from ideation to implementation. 

Responsibilities:
• Building and deploying relevance models that power our various recommender systems and personalized intent engines
• Keeping scalability and performance in mind through your design and engineering choices.
• You will explore novel approaches for machine learning ranking and modeling downstream impact, as well as new ways of creating new product features by leveraging the cutting edge machine learning techniques in Generative AI, NLP.
• You will work with big data and analyze tracking data to understand member preferences and identify opportunities for taking the products you work on to the next level.
• You will work directly with partner data science, product, and infrastructure teams to take your ideas from conception to production.

Basic Qualifications:
• Bachelor's degree in Computer Science or related technical field or equivalent technical experience
• 1+ year of industry experience in software design, development, and algorithm related solutions.
• 1+ years experience programming languages such as Java, C/C++, Python, etc.

Preferred Qualifications: 
? 1+ years of relevant work experience
? MS or PhD in Computer Science or related technical discipline
? Experience with machine learning, data mining, and information retrieval or natural language processing is not required but is helpful
? Experience developing large scale systems
? Knowledge of recommendation systems
? Ability to diagnose technical problems, debug code, and automate routine tasks
? Analytical approach coupled with solid communication skills and a sense of ownership

Suggested Skills:
• Experience in Machine Learning and Deep Learning
• Experience in Big Data 
• Strong technical background & Strategic thinking


You will Benefit from our Culture:
We strongly believe in the well-being of our employees and their families. That is why we offer generous health and wellness programs and time away for employees of all levels.

LinkedIn is committed to fair and equitable compensation practices. The pay range for this role is $107,000-$176,000. Actual compensation packages are based on several factors that are unique to each candidate, including but not limited to skill set, depth of experience, certifications, and specific work location. This may be different in other locations due to differences in the cost of labor. The total compensation package for this position may also include annual performance bonus, stock, benefits and/or other applicable incentive compensation plans. For more information, visit https://careers.linkedin.com/benefits.


Equal Opportunity Statement
 LinkedIn is committed to diversity in its workforce and is proud to be an equal opportunity employer. LinkedIn considers qualified applicants without regard to race, color, religion, creed, gender, national origin, age, disability, veteran status, marital status, pregnancy, sex, gender expression or identity, sexual orientation, citizenship, or any other legally protected class. LinkedIn is an Affirmative Action and Equal Opportunity Employer as described in our equal opportunity statement here: https://microsoft.sharepoint.com/:b:/t/LinkedInGCI/EeE8sk7CTIdFmEp9ONzFOTEBM62TPrWLMHs4J1C_QxVTbg?e=5hfhpE. Please reference https://www.eeoc.gov/sites/default/files/2023-06/22-088_EEOC_KnowYourRights6.12ScreenRdr.pdf and https://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf for more information.

 LinkedIn is committed to offering an inclusive and accessible experience for all job seekers, including individuals with disabilities. Our goal is to foster an inclusive and accessible workplace where everyone has the opportunity to be successful.

 If you need a reasonable accommodation to search for a job opening, apply for a position, or participate in the interview process, connect with us at accommodations@linkedin.com and describe the specific accommodation requested for a disability-related limitation.

 Reasonable accommodations are modifications or adjustments to the application or hiring process that would enable you to fully participate in that process. Examples of reasonable accommodations include but are not limited to:

 -Documents in alternate formats or read aloud to you 
 -Having interviews in an accessible location
 -Being accompanied by a service dog
 -Having a sign language interpreter present for the interview

 A request for an accommodation will be responded to within three business days. However, non-disability related requests, such as following up on an application, will not receive a response.

 LinkedIn will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by LinkedIn, or (c) consistent with LinkedIn's legal duty to furnish information.

 Pay Transparency Policy Statement
 As a federal contractor, LinkedIn follows the Pay Transparency and non-discrimination provisions described at this link: https://lnkd.in/paytransparency.

 Global Data Privacy Notice for Job Candidates
 This document provides transparency around the way in which LinkedIn handles personal data of employees and job applicants: https://lnkd.in/GlobalDataPrivacyNotice"
Associate Software Engineer,"
Job Description

The Associate Software Engineer will be part of the software development team and participates in all phases of the software development project life cycle, includes analysis, design, develop code, test business software applications and project implementation.

Responsibilities:
• Assist in defining and reviewing requirements and use cases for the application.
• Design the application to meet the business process design and application requirements.
• Configure, build, and test the application or technical architecture components.
• Participate in transitioning the designs to the developers, code reviews and transitions of the application or technical architecture components to the testers.
• Fix any defects and performance problems discovered during testing
• Create technical and functional/end-user operational documentation for the software or system.

Qualifications:
• Open for FRESH GRADUATES.
• Graduate of bachelor’s degree in Information Technology, Computer Science, or other relevant IT programs / courses.
• Knowledge in any of the following programming language: Java, C, .Net, UNIX Shell Scripting, Oracle, PeopleSoft, SAP and Salesforce
• Skills in unit test and/or Test-Driven Development."
Data Analyst,"
About the job
Must have primary commercial and specialty insurance with a focus on data or business analysis.

Applicants requiring employer sponsorship of a visa now or in the future will not be considered for this position.

We’re adding to our diverse team of experts and are looking to hire those who are committed to building a culture that enables the creation of innovative solutions for our business and clients.

The Insurance Operations

Munich Re Specialty Insurance (MRSI) provides extensive, specialty property and casualty insurance solutions to customers through select brokers, Managing General Agents, program administrators, cover holders, and insurtech partners. Products include: property, casualty, professional liability and other specialty insurance solutions. Our comprehensive, customized solutions are provided by A+ rated carriers and are tailored to clients’ needs. We offer superior service levels, industry-recognized underwriting and claims expertise and innovative approaches to complex and evolving risks.

Munich Re Specialty Insurance (MRSI) is a description for the insurance business operations of affiliated companies in the Munich Re Group that share a common directive to offer and deliver specialty property and casualty insurance products and services in North America. For more information on MRSI, including licensing, regulatory-required, and other information on the operating companies, visit https://www.munichre.com/us-non-life/en/general/munich-re-specialty-insurance-disclosures.html..

The Opportunity

We are seeking a highly capable Data Analyst that will use data to solve business problems. In this position, you will be responsible for the accuracy and integrity of MRSI’s data landscape that is used to support various data driven initiatives that drive business value and enable actionable insights.

The Data Analyst must be a champion of our data and reports and actively strives to identify and resolve any data issues. Must be a forward thinker that sees the larger picture; looks beyond the current, anticipates what could happen or what the future needs will be.

To ensure success as a Data Analyst, you should exhibit extensive knowledge of data analysis techniques and have prior experience in a similar role. A top-notch Data Analyst will be someone whose data analysis expertise results in trusted information for company executives.

In this position you will:

     Be responsible for performing data analysis, collaborating with data engineers, data modelers, data architects, and technical subject matter experts to enhance data collection and storage procedures, and preparing data quality analysis and reports. Be responsible for developing the processes and procedures necessary to ensure the quality data.
     Evaluate changes to source systems and the impacts from the data and reporting landscape.
     Work closely with business analysts and technical subject matter experts to understand the source systems and assist in the analysis of data integration and data transformation.
     Support teams with data requirements, source-to-target mappings, and other data-oriented deliverables.
     Consult with data/business owners and teammates to identify all facets of a data issue to help generate a solution as well as understand the potential impacts to processes and systems across the organization. Work directly with business executives to identify areas for improvement.
     Participate in discovery meetings, provide estimates, analyze and validate project requirements and technical specifications, perform impact analysis, and document key issues.
     Troubleshoot job failures with developers, where necessary.
     Support development and monitoring of data quality and data governance processes.
     Identify operational gaps in our delivery based on potential business usage (i.e. dashboard gaps that could lead to rework, or usage gaps).


Successful candidates qualifications:

     Bachelor’s Degree or equivalent work experience.
     5+ experience in primary commercial and specialty insurance with a focus on data or business analysis.
     Specific domain expertise in insurance areas such as Underwriting, Claims, Finance, or Operations.
     Understanding of insurance KPIs and experience in their implementation.
     Demonstrated analytical and problem solving skills.
     Knowledge of data warehousing, business analysis tools, and data management techniques.
     Ability to work in a fast-paced environment, juggle multiple priorities, and be adaptive to change.
     Can quickly assimilate data and communicate complex requirements and issues clearly and concisely.
     Ability to analyze the root cause of a problem and demonstrate good sense when determining impact.
     Effectively work in a collaborative environment across functional teams.
     Excellent organizational, multi-tasking, and time management skills.
     Strong interpersonal communication skills and presentation skills.


Required technical skills:

     Demonstrated expertise in Power BI, including DAX statements and report modeling - or equivalent skills in similar data visualization tools
     Proficiency with Databricks notebooks and data profiling techniques.
     Strong knowledge of relational databases, SQL, and Python.


The Company is open to considering candidates in New York, NY. The salary range posted below applies to the Company’s NYC location.

The base salary range anticipated for this position is $91,800 - $134,600 plus opportunity for company bonus based upon a percentage of eligible pay. In addition, the company makes available a variety of benefits to employees, including health insurance coverage, an employee wellness program, life and disability insurance, 401k match, retirement savings plan, paid holidays and paid time off (PTO).

The salary estimate displayed represents the typical salary range for candidates hired in this position in NYC. Factors that may be used to determine your actual salary include your specific skills, how many years of experience you have and comparison to other employees already in this role. Most candidates will start in the bottom half of the range.

At Munich Re, we see Diversity and Inclusion as a solution to the challenges and opportunities all around us. Our goal is to foster an inclusive culture and build a workforce that reflects the customers we serve and the communities in which we live and work. We strive to provide a workplace where all of our colleagues feel respected, valued and empowered to achieve their very best every day. We recruit and develop talent with a focus on providing our customers the most innovative products and services.

We are an equal opportunity employer. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions."
Data Analyst,"
About the job

Purpose of the Position: As a Data Analyst, you will play a crucial role in our data analytics team, supporting the development and execution of data analytics and reporting projects. You will work closely with senior data analysts and data engineers to collect, process, and analyze data stored in Azure Data Lake and Synapse, as well as create visually appealing reports and dashboards using Power BI. This role is an excellent opportunity for someone who is passionate about data and eager to grow their career in data analytics. 

Responsibilities:

Data Extraction and Transformation: 

    Retrieve, cleanse, and analyze data using modern platforms. 
    Transform and structure data to prepare it for analysis. 

Data Analysis: 

    Assist in performing exploratory data analysis to discover insights and trends. 
    Conduct statistical analysis to identify patterns and correlations in the data. 

Report Development: 

    Create interactive and informative reports and dashboards using Power BI and Excel 
    Customize reports to meet specific business requirements and user needs. 

Data Quality Assurance: 

    Validate data accuracy and consistency through data quality checks. 
    Collaborate with data engineers to address data quality issues. 

Collaboration: 

    Work closely with cross-functional teams to understand their data needs and provide actionable insights. 
    Collaborate with senior data analysts to implement data analysis methodologies. 

Documentation: 

    Maintain documentation of data sources, transformations, and analysis processes. 
    Ensure documentation is up-to-date and accessible to the team. 

Requirements:

    Bachelor's degree in a related field such as Computer Science, Statistics, or Data Science.
    Proficiency in Power BI for creating interactive reports and dashboards.
    Basic understanding of data analysis techniques and statistical concepts.
    Excellent problem-solving skills and attention to detail.
    Strong communication skills and the ability to present findings effectively.
    Ability to work collaboratively in a team environment.

Desired Competencies:

    Knowledge of Microsoft Azure Data Lake and Synapse.
    Familiarity with SQL for data querying.
    Experience with data visualization best practices.
    Knowledge of programming languages such as Python or R.
    Understanding of data warehousing concepts.
    Previous internship or coursework related to data analytics.

Our Company: At Beeline, we cultivate a positive work environment and are passionate about who we are and what we do. We are a 20-year industry leader disrupting the world of external workforce technology. Businesses across all industries use our technology to manage more than 30 million workers and over $55 billion in talent spend across 120+ countries. Ideal candidates are intensely curious about technology, thrive in a less-than-formal work environment, and excel in a fast-paced, rapidly changing environment. We are looking for talented, driven, and adaptable people who will contribute to our vision, mission, and our future!

Our Vision: Every person, given the right opportunity, is capable of greatness. Every business, given the right talent, is capable of superior outcomes.

Our Mission: Our trusted platform connects businesses to the remarkable talent within the global extended workforce.

To learn more about Beeline, our solutions, our culture, and available positions visit https://www.beeline.com/.

This list of ""Requirements and Responsibilities"" is not intended to be limiting. The Company reserves the right to revise this job description based on the actual job requirements as varied from time to time.

Equal Opportunity Employer Minorities/Women/Veterans/Disabled"
Data Scientist,"
About the job
It's fun to work in a company where people truly BELIEVE in what they are doing!

We're committed to bringing passion and customer focus to the business.

Fractal is a strategic AI partner to Fortune 500 companies with a vision to power every human decision in the enterprise. Fractal is building a world where individual choices, freedom, and diversity are the greatest assets. An ecosystem where human imagination is at the heart of every decision. Where no possibility is written off, only challenged to get better. We believe that a true Fractalite is the one who empowers imagination with intelligence.

Please visit Fractal | Intelligence for Imagination for more information about Fractal

Responsibilities

    Identify business problems, select appropriate performance metric, develop data science modeling/algorithmic approach, and evaluate success of that approach within constraints of data and timeline
    Work with Product Team business users to translate business requirements into modeling approaches. Measure and benchmark model and system performance
    Analyze model accuracy and bias and recommend the next course of action & Improvements and maintain NLP model evaluation systems. Rapidly iterate models and results to refine and validate approach specific to product customer services.
    Participate in developing and reviewing code, design documents, use case reviews, and communicate to business users
    Build ingestion processes to prepare, extract, and annotate a rich data variety of unstructured data sources (social media, retailer's data, images, video, voice, emails etc.,). Leverage a variety of tools and approaches to solve complex business objectives, from Statistical Natural Language Processing, Information Retrieval/Extraction and Machine Learning/Deep Learning


Mandatory Skills

    Simulation modeling capabilities, particularly strong experience with software such as FlexSim and AnyLogic. High-level deliverables.
    Stochastic Model Development (model requirement, conceptual model, detailed modeled, model validation & verification, calibration)
    Analysis and Reporting (experiment design, simulation, optimization, results, recommendations, documentation, presentation)
    Data extraction when needed (query building particularly using BigQuery to extract and manipulate data for input into simulation)
    Should be able to be ready to tackle existing models and build new models from scratch in a rapidly changing dynamic environment. 
    Strong experience with NLP (Natural Language Processing), scripting and automation of data extraction, data mining, transformation, and modeling outputs using Python, TensorFlow, GCP Services etc.
    Good communication skills with excellent verbal and written presentation skills - able to promote data informed decision-making.


Qualifications

    Bachelor's in Data Science, Computer Science, related field
    4+ years of Data Science and Machine Learning experience required.
    Proficiency in Python. Ability to write complex SQL queries.
    Proficiency with NLP concepts and experience in implementing NLP use cases preferred.
    Solid understanding of ML/DL techniques, algorithms and tools with exposure to CNN, RNN (LSTM), Transformers (BERT, GPT, Megatron)
    Ability to implement ML best practices for the entire Data Science lifecycle.
    ‘Know how’ of database management and queries (in SQL etc.,)
    Proven track record of independently solving complex business problems with hypothesis establishing, data collection, advanced statistical analysis, and scalable process creation.
    Strong collaborative and interpersonal skills, with a proven track record to optimally guide and share insights in a dynamic matrix environment.


Pay

The wage range for this role takes into account the wide range of factors that are considered in making compensation decisions, including but not limited to skill sets; experience and training; licensure and certifications; and other business and organizational needs. The disclosed range estimate has not been adjusted for the applicable geographic differential associated with the location at which the position may be filled. At Fractal, it is not typical for an individual to be hired at or near the top of the range for their role and compensation decisions are dependent on the facts and circumstances of each case. A reasonable estimate of the current range is: $96,000 to $149,000. In addition, you may be eligible for a discretionary bonus for the current performance period.

Benefits

As a full-time employee of the company or as an hourly employee working more than 30 hours per week, you will be eligible to participate in the health, dental, vision, life insurance, and disability plans in accordance with the plan documents, which may be amended from time to time. You will be eligible for benefits on the first day of employment with the Company. In addition, you are eligible to participate in the Company 401(k) Plan after 30 days of employment, in accordance with the applicable plan terms. The Company provides for 11 paid holidays and 12 weeks of Parental Leave. We also follow a “free time” PTO policy, allowing you the flexibility to take the time needed for either sick time or vacation.

Fractal provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws.

If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!

Not the right fit? Let us know you're interested in a future opportunity by clicking Introduce Yourself in the top-right corner of the page or create an account to set up email alerts as new job postings become available that meet your interest!"
AI/ML Data Science Intern,"
About the job
Title: AI/ML Data Science Intern

This internship is with the Marketing Data Sciences team at HP Inc. This individual will be responsible for helping the team to shape its AI/ML strategy, specifically through the creation of AI models, such as Large Language models (LLMs) and Natural Language Processing (NLP), for Marketing. Marketers are tasked with combing through tons of research and data to find appropriate insights; there is oftentimes too much information and too little time. This individual will provide Marketers with curated AI/ML tools that help them to have the right information at the right time to make the best decisions.

The ideal internship candidate should have strong problem solving, technical and analytical skills. This individual will be expected to work with various corporate data assets, be proficient in data modeling and visualization, utilize multiple data analysis tools, and work across multiple teams to help solve marketing decision problems.? This is a fantastic opportunity to be part of cutting-edge AI work that enables Marketing to drive innovation and business growth.

Education And Experience

    Obtaining a BS or MS; preferably in Computer Science, Engineering, Statistics, Math or a similar STEM field 

Knowledge And Skills

    Strong knowledge of ML and Deep Learning in the context of LLMs, NLPs and chatbots 
    Strong Python programming skills (PyTorch/TensorFlow, Pandas, NumPy, Matplotlib, creating functions) 
    Strong SQL and database skills 
    Strong data analysis skills and ability to extract and key business insights 
    Strong knowledge of marketing principles, practices, tactics and tools preferred 
    Self-motivated with strong problem-solving skills and ability to work independently 
    Good English written/oral communication and presentation skills 
    Strong collaboration skills 

Responsibilities

University students enrolled in a Masters advanced degree program who are working in a technical or non-technical internship role at hp during their study or in summer breaks between university semesters."
Software Engineer intern,"Description

About us:

One team. Global challenges. Infinite opportunities. At Viasat, were on a mission to deliver connections with the capacity to change the world. For more than 35 years, Viasat has helped shape how consumers, businesses, governments and militaries around the globe communicate. Were looking for people who think big, act fearlessly, and create an inclusive environment that drives positive impact to join our team.

What you’ll do:

In Viasat, Control Systems provides OSS functionality through an API based platform that abstracts underlying systems and provides customers with a unified interface. Control Systems also provides control and management plane services to manage subscriber and end-user device entry into the Viasat network.

We are excited to welcome an intern to our team! As an intern, you will work on our support channel’s Slack bot to automate support inquiries. The Slack bot will take user questions and provide answers retrieved from multiple regions and environments of our system.

The day-to-day:

    Learn the Viasat network control environment
    Become familiar with the Python and Javascript Slack SDKs
    Document a design of a Slack bot that can answer a list of predetermined questions
    Develop a Slack bot that queries relevant systems in the Viasat network control environment to automatically answer user’s support questions
    Write automated tests for the Slack bot
    Use Github Actions to automate CI/CD of the Slack bot
    Document and demonstrate Slack bot functionality to the team

What you’ll need:

    Currently pursuing a Bachelor’s degree or higher in computer science, software engineering, or a related field
    Experience with Javascript
    Experience with Python
    Experience with Linux
    Ability to commit to a 10-12 week summer internship

What will help you on the job:

    Detail oriented
    Collaboration
    Ability to work both autonomously and with the team

Salary range:
$21 – $66 / hourly

:
At Viasat, we consider many factors when it comes to compensation, including the scope of the position as well as your background and experience. Base pay may vary depending on job-related knowledge, skills, and experience. Additional cash or stock incentives may be provided as part of the compensation package, in addition to a range of medical, financial, and/or other benefits, dependent on the position offered. Learn more about Viasats comprehensive benefit offerings that are focused on your holistic health and wellness at careers.viasat.com/LifeAtViasat/Benefits.

EEO statement:

Viasat is proud to be an equal opportunity employer, seeking to create a welcoming and diverse environment. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, ancestry, physical or mental disability, medical condition, marital status, genetics, age, or veteran status or any other applicable legally protected status or characteristic. If you would like to request an accommodation on the basis of disability for completing this on-line application, please click here."
